API,Version,Links,Label,symptoms of bugs,causes of bugs,bug numbers,total bugs,,,,,,,,,,,,
torch.geqrf/torch.Tensor.geqrf,2.0.0(2.4.0still exists),https://github.com/pytorch/pytorch/issues/126748,bug,Inconsistencies(CPU/GPU),Nans and Infs,2,10,,,,,,,,,,,,
torch.orgqr,2.0.0(2.4.0still exists),https://github.com/pytorch/pytorch/issues/126760,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,
torch.matrix_exp/torch.linalg.matrix_exp,2.0.0(2.4.0fixed),https://github.com/pytorch/pytorch/issues/126749,bug,Inconsistencies(CPU/GPU),Nans and Infs,2,,,,,,,,,,,,,
torch.unique/torch.Tensor.unique,2.0.0(2.4.0fixed),https://github.com/pytorch/pytorch/issues/126757,bug,Inconsistencies(CPU/GPU),Nans and Infs,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
torch.quantile,2.0.0(2.4.0still exists),https://github.com/pytorch/pytorch/issues/153234,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,
torch.quantize_per_tensor,2.0.0(2.4.0still exists),https://github.com/pytorch/pytorch/issues/153340,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,
torch.quantize_per_channel,2.0.0(2.4.0still exists),https://github.com/pytorch/pytorch/issues/153341,bug,Inconsistencies(CPU/GPU),Nans and Infs,1,,,,,,,,,,,,,
